State,Index,Lat,Long,ProjectTotal,BridgeDeckArea,PavementDistance,PavementStructureEvaluation,BridgeDeckScanning,OtherProjects,ConcreteStructureScanning,ConsultingResearch,SubsurfaceUtilityEngineering,Blog
Alabama,1,32.31823,-86.902298,2,0,3,2,0,0,0,0,0,
Alaska,2,66.160507,-153.36914,3,805097,270,1,2,0,0,0,0,https://infrasense.com/experience/alaska/
Arizona,3,34.048927,-111.09374,5,1074539,1323,4,1,0,0,0,0,https://infrasense.com/experience/arizona/
Arkansas,4,34.799999,-92.199997,4,177350,26,2,2,0,0,0,0,https://infrasense.com/experience/arkansas/
California,5,36.778259,-119.41793,17,2196185,563,12,3,1,0,1,0,https://infrasense.com/experience/california/
Colorado,6,39.113014,-105.35889,4,109693,630,1,2,0,1,0,0,https://infrasense.com/experience/colorado/
Connecticut,7,41.599998,-72.699997,31,3810059,288,8,21,0,2,0,0,https://infrasense.com/experience/connecticut/
Delaware,8,39,-75.5,7,2076465,2,1,5,0,0,1,0,https://infrasense.com/experience/delaware/
Florida,9,27.994402,-81.760254,6,311422,134,3,2,0,0,1,0,https://infrasense.com/experience/florida/
Georgia,15,33.247875,-83.441162,31,136182,1336,28,3,0,0,0,0,https://infrasense.com/experience/georgia/
Hawaii,11,19.741755,-155.84444,2,1389888,11,1,1,0,0,0,0,https://infrasense.com/experience/hawaii/
Idaho,12,44.068203,-114.74204,34,1469029,1888,19,14,1,0,0,0,https://infrasense.com/experience/idaho/
Illinois,13,40,-89,29,3510992,413,5,24,0,0,0,0,https://infrasense.com/experience/illinois/
Indiana,14,40.273502,-86.126976,8,1025723,324,2,6,0,0,0,0,https://infrasense.com/experience/indiana/
Iowa,15,42.032974,-93.581543,4,100288,7,2,2,0,0,0,0,https://infrasense.com/experience/iowa/
Kansas,16,38.5,-98,4,0,59,4,0,0,0,0,0,https://infrasense.com/experience/kansas/
Kentucky,17,37.839333,-84.27002,3,0,50,1,0,0,2,0,0,https://infrasense.com/experience/kentucky/
Louisiana,18,30.39183,-92.329102,5,887326,244,2,3,0,0,0,0,https://infrasense.com/experience/louisiana/
Maine,19,45.367584,-68.972168,13,775722,18,2,10,0,1,0,0,https://infrasense.com/experience/maine/
Maryland,20,39.045753,-76.641273,11,1022373,591,5,3,1,0,1,1,https://infrasense.com/experience/maryland/
Massachusetts,25,42.407211,-71.382439,68,649138,73,6,18,4,20,3,17,https://infrasense.com/experience/massachusetts/
Michigan,22,44.182205,-84.506836,10,3619157,124,3,5,0,2,0,0,https://infrasense.com/experience/michigan/
Minnesota,23,46.39241,-94.63623,28,4478065,2287,18,9,0,0,1,0,https://infrasense.com/experience/minnesota/
Mississippi,24,33,-90,0,0,0,0,0,0,0,0,0,
Missouri,25,38.573936,-92.60376,7,857839,16,2,5,0,0,0,0,https://infrasense.com/experience/missouri/
Montana,26,46.96526,-109.53369,7,2784725,27,2,5,0,0,0,0,https://infrasense.com/experience/montana/
Nebraska,27,41.5,-100,2,135971,0,0,2,0,0,0,0,https://infrasense.com/experience/nebraska/
Nevada,28,39.876019,-117.22412,4,2480442,13,2,2,0,0,0,0,https://infrasense.com/experience/nevada/
New Hampshire,29,44,-71.5,12,476486,205,4,6,0,0,1,1,https://infrasense.com/experience/newhampshire/
New Jersey,30,39.833851,-74.871826,5,660,778,4,1,0,0,0,0,https://infrasense.com/experience/new-jersey/
New Mexico,31,34.307144,-106.01807,1,0,2,1,0,0,0,0,0,https://infrasense.com/experience/new-mexico/
New York,32,43,-75,42,5435112,146,5,30,1,5,0,1,https://infrasense.com/experience/new-york/
North Carolina,33,35.782169,-80.793457,4,87928,35,2,2,0,0,0,0,
North Dakota,34,47.650589,-100.43701,12,1340737,4324,6,4,0,0,1,1,https://infrasense.com/experience/northdakota/
Ohio,35,40.367474,-82.996216,16,1451213,111,5,11,0,0,0,0,https://infrasense.com/experience/ohio/
Oklahoma,36,36.084621,-96.921387,4,0,3682,3,1,0,0,0,0,https://infrasense.com/experience/oklahoma/
Oregon,37,44,-120.5,5,2974312,116,2,3,0,0,0,0,https://infrasense.com/experience/oregon/
Pennsylvania,38,41.203323,-77.194527,17,1133930,237,4,12,0,1,0,0,https://infrasense.com/experience/pennsylvania/
Rhode Island,39,41.742325,-71.742332,12,3184609,17,5,7,0,0,0,0,https://infrasense.com/experience/rhodeisland/
South Carolina,40,33.836082,-81.163727,15,337067,1236,12,3,0,0,0,0,https://infrasense.com/experience/southcarolina/
South Dakota,41,44.5,-100,3,81837,24,2,1,0,0,0,0,https://infrasense.com/experience/southdakota/
Tennessee,42,35.860119,-86.660156,5,470686,2887,3,2,0,0,0,0,https://infrasense.com/experience/tennessee/
Texas,44,31,-100,6,922278,140,3,2,0,1,0,0,https://infrasense.com/experience/texas/
Utah,44,39.41922,-111.95068,6,160960,1981,5,1,0,0,0,0,https://infrasense.com/experience/utah/
Vermont,45,44,-72.699997,4,0,99,4,0,0,0,0,0,https://infrasense.com/experience/vermont/
Virginia,46,37.926868,-78.024902,65,2924117,3908,38,19,1,6,1,0,https://infrasense.com/experience/virginia/
Washington,47,47.751076,-120.74014,2,22080,0,0,1,0,0,0,0,https://infrasense.com/experience/washington/
West Virginia,48,39,-80.5,1,0,20,1,0,0,0,0,0,
Wisconsin,49,44.5,-89.5,67,39737242,146,3,61,0,2,1,0,https://infrasense.com/experience/wisconsin/
Wyoming,50,43.07597,-107.29028,3,284219,34,1,2,0,0,0,0,https://infrasense.com/experience/wyoming/
District of Columbia,51,38.898,-77.04,3,481216,0,0,3,0,0,0,0,
International Projects,52,34.599507,-67.090337,19,424271,5645,8,5,2,1,3,0,
